"Education","South","Sex","Experience","Wage","Age","Race","Occupation","Sector","Marr","Union","Children"
8,"N","F",21,5.1,35,"H","Other","Manufacturing","Married","N",5
9,"N","F",42,4.95,57,"W","Other","Manufacturing","Married","N",5
12,"N","M",1,6.67,19,"W","Other","Manufacturing","Single","N",NA
12,"N","M",4,4,22,"W","Other","Other","Single","N",NA
12,"N","M",17,7.5,35,"W","Other","Other","Married","N",5
13,"N","M",9,13.07,28,"W","Other","Other","Single","Y",NA
10,"Y","M",27,4.45,43,"W","Other","Other","Single","N",NA
12,"NULL","M",9,19.47,27,NA,"Other","Other","Single","N",NA
16,"N","M",11,13.28,33,"W","Other","Manufacturing","Married","N",5
12,"N","M",9,8.75,27,"W","Other","Other","Single","N",NA
12,"N","M",17,11.35,35,"W","Other","Other","Married","Y",5
12,"N","M",19,11.5,37,"W","Other","Manufacturing","Single","Y",NA
8,"Y","M",999,6.5,41,"W","Other","Other","Married","N",5
9,"Y","M",999,6.25,45,"W","Other","Other","Single","Y",NA
9,"Y","M",29,19.98,44,"W","Other","Other","Married","N",5
12,"N","M",37,7.3,55,"W","Other","Construction","Married","N",5
7,"Y","M",44,8,57,"W","Other","Other","Married","N",5
12,"N","M",26,22.2,44,"W","Other","Manufacturing","Married","Y",5
11,"N","M",16,3.65,33,"W","Other","Other","Single","N",NA
12,"N","M",33,20.55,51,"W","Other","Other","Married","N",5
12,"N","F",16,5.71,34,"W","Other","Manufacturing","Married","Y",5
7,"N","M",42,7,55,"O","Other","Manufacturing","Married","Y",5
12,"N","M",9,3.75,27,"W","Other","Other","Single","N",NA
11,"Y","M",14,4.5,31,"O","Other","Other","Married","N",5
12,"N","M",23,9.56,41,"W","Other","Other","Married","N",5
6,"Y","M",45,5.75,57,"W","Other","Manufacturing","Married","N",5
12,"N","M",8,9.36,26,"W","Other","Manufacturing","Married","N",5
10,"N","M",30,6.5,46,"W","Other","Other","Married","N",5
12,"N","F",8,3.35,26,"W","Other","Manufacturing","Married","N",5
12,"N","M",8,4.75,26,"W","Other","Other","Married","N",5
14,"N","M",13,8.9,33,"W","Other","Other","Single","N",NA
12,"NULL","F",999,4,64,NA,"Other","Other","Single","N",NA
NA,"N","M",999,4.7,33,"W","Other","Other","Married","N",5
17,"Y","F",1,5,24,"W","Other","Other","Single","N",NA
12,"N","M",19,9.25,37,"W","Other","Manufacturing","Single","N",NA
12,"N","M",36,10.67,54,"O","Other","Other","Single","N",NA
12,"Y","M",20,7.61,38,"O","Other","Construction","Married","N",5
12,"N","M",35,10,53,"O","Other","Construction","Married","Y",5
12,"N","M",999,7.5,21,"W","Other","Other","Single","N",NA
14,"NULL","M",10,12.2,30,NA,"Other","Manufacturing","Married","N",5
12,"N","M",0,3.35,18,"W","Other","Other","Single","N",NA
14,"Y","M",14,11,34,"W","Other","Manufacturing","Married","Y",5
12,"NULL","M",14,12,32,NA,"Other","Manufacturing","Married","N",5
9,"N","F",999,4.85,31,"W","Other","Manufacturing","Married","N",5
13,"Y","M",8,4.3,27,"W","Other","Construction","Single","N",NA
7,"Y","F",15,6,28,"W","Other","Manufacturing","Married","N",5
16,"N","M",12,15,34,"W","Other","Manufacturing","Married","N",5
10,"Y","M",13,4.85,29,"W","Other","Other","Single","N",NA
8,"N","M",33,9,47,"W","Other","Other","Married","Y",5
12,"N","M",9,6.36,27,"W","Other","Manufacturing","Married","N",5
12,"N","M",7,9.15,25,"W","Other","Other","Married","N",5
16,"N","M",13,11,35,"W","Other","Manufacturing","Married","Y",5
12,"N","F",7,4.5,25,"W","Other","Manufacturing","Married","N",5
12,"N","F",16,4.8,34,"W","Other","Manufacturing","Married","N",5
13,"N","M",0,4,19,"W","Other","Other","Single","N",NA
12,"N","F",999,5.5,29,"W","Other","Manufacturing","Single","N",NA
13,"N","M",17,8.4,36,"W","Other","Manufacturing","Single","N",NA
10,"N","M",13,6.75,29,"W","Other","Manufacturing","Married","N",5
12,"N","M",22,10,40,"O","Other","Manufacturing","Single","Y",NA
12,"N","F",28,5,46,"W","Other","Manufacturing","Married","N",5
11,"NULL","M",17,6.5,34,NA,"Other","Other","Single","N",NA
12,"N","M",24,10.75,42,"W","Other","Construction","Married","Y",5
3,"Y","M",55,7,64,"H","Other","Manufacturing","Married","N",5
12,"Y","M",3,11.43,21,"W","Other","Construction","Single","N",NA
12,"N","M",6,4,24,"O","Other","Manufacturing","Single","Y",NA
10,"N","M",999,9,43,"W","Other","Construction","Married","N",5
12,"Y","M",19,13,37,"O","Other","Manufacturing","Married","Y",5
12,"N","M",19,12.22,37,"W","Other","Construction","Married","Y",5
12,"N","F",999,6.28,56,"W","Other","Manufacturing","Married","N",5
10,"Y","M",41,6.75,57,"O","Other","Manufacturing","Married","Y",5
11,"Y","M",3,3.35,20,"O","Other","Manufacturing","Single","N",NA
14,"N","M",20,16,40,"W","Other","Other","Married","Y",5
10,"N","M",15,5.25,31,"W","Other","Other","Married","N",5
8,"Y","M",999,3.5,22,"H","Other","Manufacturing","Married","N",5
8,"Y","F",999,4.22,53,"W","Other","Manufacturing","Married","N",5
6,"N","F",43,3,55,"H","Other","Manufacturing","Married","Y",5
11,"Y","F",25,4,42,"W","Other","Manufacturing","Married","Y",5
12,"N","M",11,10,29,"W","Other","Other","Married","Y",5
12,"N","M",12,5,30,"O","Other","Other","Married","N",5
12,"Y","M",35,16,53,"W","Other","Manufacturing","Married","Y",5
14,"N","M",14,13.98,34,"W","Other","Other","Single","N",NA
12,"N","M",16,13.26,34,"W","Other","Other","Married","Y",5
10,"N","F",44,6.1,60,"W","Other","Manufacturing","Single","Y",NA
16,"Y","F",999,3.75,35,"W","Other","Other","Single","N",NA
13,"N","M",999,9,27,"O","Other","Manufacturing","Single","Y",NA
12,"N","M",13,9.45,31,"W","Other","Manufacturing","Single","N",NA
11,"N","M",18,5.5,35,"W","Other","Other","Married","Y",5
12,"N","F",18,8.93,36,"W","Other","Other","Married","N",5
12,"Y","F",6,6.25,24,"W","Other","Other","Single","N",NA
11,"NULL","M",37,9.75,54,NA,"Other","Manufacturing","Married","Y",5
12,"Y","M",2,6.73,20,"W","Other","Manufacturing","Married","N",5
12,"N","M",23,7.78,41,"W","Other","Manufacturing","Married","N",5
12,"N","M",1,2.85,19,"W","Other","Other","Single","N",NA
12,"Y","F",10,3.35,28,"O","Other","Manufacturing","Married","N",5
12,"N","M",23,19.98,41,"W","Other","Manufacturing","Married","N",5
12,"N","M",8,8.5,26,"O","Other","Other","Married","Y",5
15,"N","F",9,9.75,30,"W","Other","Manufacturing","Married","N",5
12,"N","M",33,15,51,"W","Other","Construction","Married","Y",5
12,"N","F",19,8,37,"W","Other","Manufacturing","Married","N",5
13,"N","M",14,11.25,33,"W","Other","Other","Married","N",5
11,"N","M",999,14,30,"W","Other","Other","Married","Y",5
10,"N","M",12,10,28,"W","Other","Construction","Married","N",5
12,"N","M",8,6.5,26,"W","Other","Other","Single","N",NA
12,"N","M",23,9.83,41,"W","Other","Manufacturing","Married","N",5
14,"N","F",13,18.5,33,"W","Other","Manufacturing","Single","N",NA
12,"Y","M",9,12.5,27,"W","Other","Other","Married","N",5
14,"N","M",21,26,41,"W","Other","Other","Married","Y",5
5,"Y","M",44,14,55,"W","Other","Construction","Married","N",5
12,"N","M",4,10.5,22,"W","Other","Other","Married","Y",5
8,"N","M",42,11,56,"W","Other","Manufacturing","Married","N",5
13,"N","M",10,12.47,29,"W","Other","Other","Married","Y",5
12,"N","M",999,12.5,29,"W","Other","Construction","Single","N",NA
12,"N","M",40,15,58,"W","Other","Construction","Married","Y",5
12,"N","M",999,6,26,"W","Other","Construction","Single","N",NA
NA,"Y","M",29,9.5,46,"W","Other","Construction","Married","N",5
16,"N","M",3,5,25,"W","Other","Other","Single","Y",NA
11,"N","M",11,3.75,28,"W","Other","Construction","Single","N",NA
12,"N","M",12,12.57,30,"W","Other","Other","Married","Y",5
8,"N","F",22,6.88,36,"H","Other","Other","Married","N",5
12,"N","M",12,5.5,30,"W","Other","Other","Married","N",5
12,"N","M",7,7,25,"W","Other","Other","Married","Y",5
12,"N","F",15,4.5,33,"W","Other","Manufacturing","Single","N",NA
12,"N","M",28,6.5,46,"W","Other","Other","Married","N",5
12,"Y","M",20,12,38,"W","Other","Manufacturing","Married","Y",5
12,"Y","M",999,5,24,"W","Other","Construction","Single","N",NA
12,"Y","M",5,6.5,23,"W","Other","Manufacturing","Single","N",NA
9,"Y","F",30,6.8,45,"W","Other","Manufacturing","Married","N",5
13,"N","M",18,8.75,37,"W","Other","Other","Married","N",5
12,"Y","F",6,3.75,24,"O","Other","Manufacturing","Married","N",5
12,"Y","M",16,4.5,34,"H","Other","Other","Single","N",NA
12,"Y","M",999,6,19,"H","Other","Other","Single","Y",NA
12,"N","M",999,5.5,21,"W","Other","Manufacturing","Single","N",NA
12,"N","M",8,13,26,"W","Other","Other","Married","N",5
14,"N","M",2,5.65,22,"W","Other","Manufacturing","Single","N",NA
9,"N","M",16,4.8,31,"O","Other","Manufacturing","Single","N",NA
10,"Y","M",9,7,25,"W","Other","Construction","Married","N",5
NA,"N","M",2,5.25,20,"W","Other","Other","Single","N",NA
7,"Y","M",43,3.35,56,"W","Other","Manufacturing","Married","N",5
9,"N","M",38,8.5,53,"W","Other","Manufacturing","Married","N",5
12,"N","M",9,6,27,"W","Other","Other","Married","N",5
12,"Y","M",12,6.75,30,"W","Other","Other","Married","N",5
12,"N","M",18,8.89,36,"W","Other","Manufacturing","Married","N",5
11,"N","M",15,14.21,32,"W","Other","Manufacturing","Single","Y",NA
11,"Y","M",999,10.78,45,"O","Other","Construction","Married","Y",5
10,"NULL","M",27,8.9,43,NA,"Other","Construction","Married","Y",5
12,"Y","M",38,7.5,56,"W","Other","Other","Married","N",5
12,"N","F",3,4.5,21,"W","Other","Manufacturing","Single","N",NA
12,"NULL","M",999,11.25,59,NA,"Other","Other","Married","Y",5
12,"Y","M",999,13.45,34,"W","Other","Other","Married","Y",5
13,"Y","M",7,6,26,"W","Other","Manufacturing","Married","N",5
6,"Y","F",33,4.62,45,"O","Other","Manufacturing","Single","N",NA
14,"NULL","M",25,10.58,45,NA,"Other","Manufacturing","Married","N",5
12,"Y","M",5,5,23,"W","Other","Other","Married","N",5
14,"NULL","M",17,8.2,37,NA,"Other","Other","Single","N",NA
12,"Y","M",1,6.25,19,"W","Other","Other","Single","N",NA
12,"N","M",13,8.5,31,"W","Other","Manufacturing","Married","N",5
16,"N","M",18,24.98,40,"W","Management","Other","Married","N",5
14,"Y","M",21,16.65,41,"W","Management","Other","Married","N",5
14,"N","M",999,6.25,22,"W","Management","Other","Single","N",NA
12,"Y","F",4,4.55,22,"H","Management","Other","Single","N",NA
12,"Y","F",30,11.25,48,"H","Management","Other","Married","N",5
13,"N","M",32,21.25,51,"W","Management","Other","Single","N",NA
17,"N","F",13,12.65,36,"W","Management","Other","Married","N",5
12,"N","M",17,7.5,35,"W","Management","Other","Single","N",NA
14,"N","F",26,10.25,46,"W","Management","Other","Married","N",5
16,"N","M",9,3.35,31,"W","Management","Other","Single","N",NA
16,"N","M",999,13.45,30,"O","Management","Other","Single","N",NA
15,"N","M",1,4.84,22,"W","Management","Other","Married","Y",5
17,"Y","M",32,26.29,55,"W","Management","Other","Married","N",5
12,"N","F",24,6.58,42,"W","Management","Other","Married","N",5
14,"N","F",1,44.5,21,"W","Management","Other","Single","N",NA
12,"N","M",999,15,60,"W","Management","Manufacturing","Married","N",5
16,"N","F",3,11.25,25,"O","Management","Manufacturing","Single","N",NA
12,"N","F",32,7,50,"W","Management","Other","Married","N",5
14,"N","M",22,10,42,"O","Management","Other","Single","N",NA
16,"N","M",18,14.53,40,"W","Management","Other","Married","N",5
18,"N","F",19,20,43,"W","Management","Other","Married","N",5
15,"N","M",999,22.5,33,"W","Management","Other","Married","N",5
12,"N","F",42,3.64,60,"W","Management","Other","Married","N",5
35,"Y","M",2,10.62,89,"W","Management","Other","Married","N",5
18,"N","M",29,24.98,53,"W","Management","Other","Married","N",5
16,"Y","M",8,6,30,"W","Management","Other","Single","N",NA
18,"N","M",13,19,37,"W","Management","Manufacturing","Single","N",NA
16,"N","M",10,13.2,32,"W","Management","Other","Single","N",NA
16,"N","M",22,22.5,44,"W","Management","Other","Married","N",5
16,"Y","M",999,15,32,"W","Management","Other","Married","N",5
NA,"N","F",15,6.88,38,"W","Management","Other","Married","N",5
12,"N","M",26,11.84,44,"W","Management","Other","Married","N",5
14,"N","M",16,16.14,36,"W","Management","Other","Single","N",NA
NA,"N","F",14,13.95,38,"W","Management","Other","Married","N",5
12,"N","F",38,13.16,56,"W","Management","Other","Married","N",5
12,"Y","M",14,5.3,32,"O","Management","Other","Married","N",5
12,"N","F",7,4.5,25,"W","Management","Other","Married","N",5
18,"Y","F",13,10,37,"W","Management","Other","Single","N",NA
10,"N","M",20,10,36,"W","Management","Other","Married","N",5
16,"N","M",7,10,29,"H","Management","Other","Married","Y",5
16,"N","F",26,9.37,48,"W","Management","Other","Married","N",5
16,"N","M",14,5.8,36,"W","Management","Other","Married","N",5
13,"N","M",36,17.86,55,"W","Management","Other","Single","N",NA
12,"N","M",999,1,42,"W","Management","Other","Married","N",5
14,"Y","M",41,8.8,61,"W","Management","Other","Married","N",5
16,"N","M",7,9,29,"O","Management","Other","Married","N",5
17,"Y","M",14,18.16,37,"W","Management","Other","Single","N",NA
12,"Y","F",1,7.81,19,"W","Management","Other","Single","N",NA
16,"NULL","F",6,10.62,28,NA,"Management","Manufacturing","Married","N",5
12,"N","F",3,4.5,21,"W","Management","Other","Married","N",5
15,"N","M",31,17.25,52,"W","Management","Other","Married","N",5
13,"N","F",999,10.5,33,"W","Management","Manufacturing","Married","N",5
14,"N","F",13,9.22,33,"W","Management","Other","Married","N",5
16,"N","M",26,15,48,"O","Management","Manufacturing","Married","Y",5
18,"N","M",14,22.5,38,"W","Management","Other","Married","N",5
13,"N","F",33,4.55,52,"W","Sales","Other","Married","N",5
12,"N","M",16,9,34,"W","Sales","Other","Married","N",5
18,"N","M",10,13.33,34,"W","Sales","Other","Married","N",5
14,"N","M",22,15,42,"W","Sales","Other","Single","N",NA
14,"N","M",2,7.5,22,"W","Sales","Other","Single","N",NA
12,"Y","F",29,4.25,47,"W","Sales","Other","Married","N",5
12,"N","M",43,12.5,61,"W","Sales","Manufacturing","Married","N",5
12,"N","F",5,5.13,23,"W","Sales","Other","Married","N",5
NA,"Y","F",14,3.35,36,"O","Sales","Other","Married","N",5
12,"Y","M",28,11.11,46,"W","Sales","Other","Married","N",5
11,"Y","F",25,3.84,42,"O","Sales","Other","Married","N",5
12,"N","F",999,6.4,63,"W","Sales","Other","Married","N",5
14,"Y","M",5,5.56,25,"W","Sales","Other","Single","N",NA
12,"Y","M",20,10,38,"W","Sales","Manufacturing","Married","N",5
16,"NULL","F",6,5.65,28,NA,"Sales","Other","Married","N",5
16,"N","M",16,11.5,38,"W","Sales","Other","Married","N",5
11,"N","F",33,3.5,50,"W","Sales","Other","Married","N",5
13,"Y","F",999,3.35,21,"W","Sales","Other","Married","N",5
12,"Y","F",10,4.75,28,"W","Sales","Other","Single","N",NA
14,"Y","M",44,19.98,64,"W","Sales","Other","Married","N",5
14,"Y","F",6,3.5,26,"W","Sales","Other","Married","N",5
12,"N","F",15,4,33,"W","Sales","Other","Single","N",NA
12,"N","M",999,7,23,"W","Sales","Other","Married","N",5
13,"N","F",4,6.25,23,"W","Sales","Manufacturing","Married","N",5
NA,"N","M",14,4.5,34,"W","Sales","Other","Married","N",5
14,"N","F",32,14.29,52,"W","Sales","Other","Married","N",5
12,"N","F",14,5,32,"W","Sales","Other","Married","N",5
14,"N","M",21,13.75,41,"W","Sales","Other","Married","N",5
NA,"N","M",43,13.71,61,"W","Sales","Other","Married","Y",5
12,"Y","F",27,7.5,45,"O","Sales","Other","Married","N",5
12,"N","F",4,3.8,22,"W","Sales","Other","Single","N",NA
14,"N","M",0,5,20,"H","Sales","Other","Single","N",NA
12,"Y","M",999,9.42,50,"W","Sales","Other","Married","N",5
12,"N","M",20,5.5,38,"W","Sales","Other","Married","N",5
15,"Y","M",4,3.75,25,"W","Sales","Other","Single","N",NA
12,"N","M",999,3.5,52,"W","Sales","Other","Married","N",5
13,"N","M",999,5.8,24,"W","Sales","Other","Single","N",NA
NA,"NULL","M",13,12,36,NA,"Sales","Manufacturing","Married","N",5
14,"N","F",17,5,37,"H","Clerical","Other","Married","N",5
13,"Y","F",10,8.75,29,"W","Clerical","Other","Married","N",5
16,"N","F",7,10,29,"W","Clerical","Other","Married","N",5
12,"N","F",25,8.5,43,"W","Clerical","Other","Single","N",NA
12,"N","F",18,8.63,36,"O","Clerical","Other","Married","N",5
16,"N","F",27,9,49,"W","Clerical","Manufacturing","Married","N",5
16,"N","F",2,5.5,24,"W","Clerical","Other","Single","N",NA
13,"N","M",13,11.11,32,"W","Clerical","Other","Married","N",5
14,"N","F",999,10,44,"W","Clerical","Other","Single","N",NA
18,"Y","F",13,5.2,37,"H","Clerical","Other","Married","N",5
14,"N","F",15,8,35,"W","Clerical","Other","Single","Y",NA
12,"Y","F",999,3.56,30,"H","Clerical","Other","Single","N",NA
12,"N","F",999,5.2,42,"W","Clerical","Other","Married","N",5
12,"N","F",43,11.67,61,"W","Clerical","Construction","Married","N",5
12,"N","F",999,11.32,31,"W","Clerical","Manufacturing","Married","N",5
12,"Y","F",16,7.5,34,"W","Clerical","Other","Married","N",5
11,"N","F",24,5.5,41,"W","Clerical","Other","Married","N",5
16,"Y","F",4,5,26,"W","Clerical","Other","Married","N",5
